label	text
1	Я все еще не получила диплом
1	Не поступил мой диплом
1	Так диплом и не получил
1	Я так диплом и не получил
1	Диплом я так до сих пор и не получил
1	Как получить диплом по прошедшему обучению
1	Как получить диплом
1	Как мне получить диплом
1	Как получить документы об образовании
1	Диплом до сих пор не получила
1	Удостоверение не получила
1	Как получить документ подтверждающий обучение
1	Закончил обучение и мне нужен документ
1	Прошел обучение, когда мне ждать документы
1	Когда ждать документа о завершении курса
1	Когда ждать документа о завершении обучения
1	Мне нужно, чтобы выслали диплом об окончании курса
1	Когда вышлют диплом
1	Когда получу документы по уже законченным курсам
1	Когда получу документы по обучению
1	Где сейчас находятся мои документы по обучению
1	Как я самостоятельно могу отслеживать свои документы
1	Когда я могу получить документы об окончании обучения
1	Как узнать, что документы по обучениям отправлены
1	Когда придут оригиналы документов по обучению
1	Как получить документы за курсы
1	Как я могу найти документы и свидетельства об окончании курсов
1	Когда оформят документ по итогам обучения
1	Прошел обучение, где документ
1	Когда отправят документы об окончании курсов
1	Как мне получить документы об образовании
1	Нет документов об образовании, что делать
1	Прошел обучение, когда мне пришлют оригиналы документов
1	Когда будут высланы документы о прохождении курсов
1	Куда исчезли мои документы о прохождении обучения
1	Какие сроки получения документов об образовании
1	Закончил учиться. Как понять всё ли хорошо с документами
1	Мне нужны документы обучения, как их получить
1	Когда вы отправите документы по обучению
1	Как получить документы, после окончания обучения
1	Когда будут отправлены документы по пройденным образовательным программам
1	Вопрос по поводу получения документов об окончании учебы
1	Когда будут отправлены документы об прохождении обучения
1	Просил выслать мне документы по обучению, не пришли
1	Как получить бумажные экземпляры дипломов по прошедшему обучению
1	Как можно получить документ по факту окончания курса
1	Не получил диплом
1	Мне оригинал сертификата пришлют
1	Вопросо о документе по результатам обучения
1	Как получить бумажные дипломы
1	Оригинал документа о прохождении курса я получу по почте
1	Можно мне получить документы по всем пройденным курсам
1	Завершил обучение по нескольким программам, когда могу ожидать документы
1	Когда я смогу получить диплом
1	Оригиналы документов по окончанию обучения где можно получить
1	Будут ли доставлены оригиналы документов подтверждающих обучение
1	Каким способом происходит отправка документов об окончании учебы
1	Как мне получить документ об окончании курса
1	Вопрос по доставке документа о прошедшем обучении
1	Закончила обучение. Когда ждать оригиналы дипломов
1	Документы о прохождении курсов когда получу
1	Прошла обучение на Вашей платформе, как я могу получить оригиналы документов
1	Всё прошла, все документы загрузила, а диплома так и нет
