Query	predict_lb	predict_tag	score	true_lb	true_tag
проблема не корректно отображаться подразделение сотрудник который переводить звонок на очередь предназначать для перевод service_pechatka_perevod 86518 и servis_e izdaniya_perevod 86517 1 выгружать статистика по очередь service_pechatka_perevod и добавлять подразделение от который приходить звонок на этот очередь 2 этот очередь обрабатывать подразделение тула_сервис_2 3 проверять этот звонок по in trk code видеть ошибка например in trk code 1659332991 6105302 в наш статистика куб видно что он приходить от подразделение тула_сервис_2 что быть не мочь т к этот подразделение обрабатывать очередь service_pechatka_perevod если проверять этот звонок по данные арма то видно 1 01 08 2022 8 49 51 поступать вызов от номер 9089507404 принимать его сотрудник 3832 земляков анна александровна 2 сотрудник 3832 земляков анна александровна переводить этот звонок на очередь 86518 service_pechatka_perevod 3 данный звонок принимать сотрудник 1814 власов кристина тула_сервис_2 сейчас добавочный номер 1814 принадлежать сотрудник валиуллина елена адиковна но на момент звонок он принадлежать власова кристина как должно быть в наш статистика куб этот звонок должный быть быть от подразделение отдел обработка входить обращение сотрудник земляков анна александровна 3832 такой пример очень много	4	Другое	0.9999985694885254	Телефония Ошибка	13
0050 8233 6227 7548 4238 не сформировываться обращение на проверка документ	4	Другое	0.9929044842720032	Школы Ошибка	14
6702422301 пин задвоение укд заказ один 0654 2634 8666 6777 6133 подключать 0654 5281 2732 8220 4312 заблокировать или убирать чтобы не выходить звонок по активация	4	Другое	0.9999815225601196	Школы Ошибка	14
битрикс 10179027 по укд 1382 4145 5646 8530 0401 и 1382 5320 1448 5551 4788 отсутствовать пакет документ хотя сбор документ по они производиться просьба сформировывать пакет	4	Другое	0.9978346228599548	Школы Ошибка	14
битрикс 17997755 по укд 0050 5854 7843 4211 1445 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.9994506239891052	Школы Ошибка	14
битрикс 18002269 по укд 1275 5770 3373 8684 7765 нет пакет документ просьба сформировывать	14	Школы Ошибка	0.999890923500061	Школы Ошибка	14
добрый день по заказ 449409426 не видеть укд	4	Другое	0.9999978542327881	Школы Ошибка	14
добрый день клиент пин 2980155201 приобретать академия от период обучение с 01 07 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 5522 3567 0055 5711	4	Другое	0.999862790107727	Школы Ошибка	14
добрый день клиент пин 3362356101 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 6212 4484 6152 3512	4	Другое	0.9996058344841003	Школы Ошибка	14
добрый день подтягивать пожалуйста версия вчера они добавлять вручную а они для маппинг так и не появляться сегодня упр10378 20417 гб303 20421 гб303 20422 гб303 20423 гб303 20424 гб303 20425 гб303 20426 гб303 20427 и еще для сегодняшний продукт на всякий случай тоже упр6111 20549	4	Другое	0.9999983310699463	Школы Ошибка	14
добрый день сотрудник лавкин галина витальевна sar 066 почта glavkina pressh ru отправлять клиент почта mbou gimnazya mail ru дд но он не приходить а также не приходить отбивка о доставка сотрудник работать на удаленке мочь проверять это проблема у клиент или у сотрудник просить помогать заранее спасибо	4	Другое	0.9999793767929077	Школы Ошибка	14
добрый день у пользователь нет доступ в система завуч плюс direktor 25 mail ru	4	Другое	0.9999206066131592	Школы Ошибка	14
добрый день данный сотрудник принимать приглашение по обучение но в система и ерм разный укд этот программа просить синхронизировать это укд который принимать 0983 3867 6260 3611 4337 здесь который в задача ерм 0983 5551 5882 0057 2136 пин 6495118101	4	Другое	0.999661922454834	Школы Ошибка	14
добрый день коллега просить помогать убирать программа у пользователь eleevsee yandex ru укд 0754 5748 5688 5803 1337 0754 3614 7652 5130 3502 у пользователь и админ доступ временно нет заранее благодарить	14	Школы Ошибка	0.9999545812606812	Школы Ошибка	14
добрый день коллега просить помогать от основный укд 0029 3866 6022 6066 7016 убирать дочерний 0754 6058 3610 4508 8052 заранее благодарить	4	Другое	0.9999935626983643	Школы Ошибка	14
добрый день коллега просить помогать из основный укд 0026 4787 5104 3146 1114 убирать дочерний 0754 8234 8218 8081 8242 заранее благодарить	4	Другое	0.9999818801879883	Школы Ошибка	14
добрый день пин 3132158801 у клиент отображаться несколько кабинет при это клиент являться ученик в многопользовательский академия укд доба доступ 1275 4846 3737 2845 2155 и учиться в вип школа укд 0654 6008 4867 2135 7844 при это совершенно непонятно на какой кабинет какой продукт мы важно назначать обучение в вип школа но мы сам не мочь понимать куда заводить клиент просьба уточнять какой из кабинет к какой продукт относиться а так же если это возможный переименовывать кабинет по умолчание в т ч для весь клиент указывать продукт например вип академия система и т д заранее спасибо на данный клиент уже для удобство переименовывать кабинет	14	Школы Ошибка	0.9999653100967407	Школы Ошибка	14
добрый день просьба укд 0904 8130 1367 6866 2174 перенести на верный участник пин 2301848601 эл почта nadegdo mail ru заранее спасибо	4	Другое	0.9998559951782227	Школы Ошибка	14
добрый день укд 0050 8751 2600 4326 8837 уточнять дата сдача фин тест	4	Другое	0.9999954700469971	Школы Ошибка	14
замечать очень глобальный тенденция 1 клиент в редкий случай через мобильный телефон мочь принимать приглашение на обучение т е ссылка в приглашение активный только через компьютер пример не собирать со слово клиент при переход в лк просить весть логин и пароль но после вход на сайт открываться приветствие если клиент рано не учиться невозможно попадать в мой обучение для принятие приглашение на сайт 2 клиент с почта gmail com не приходить письмо с приглашение свежий пример telefo 4533 gmail com svetamerkureva0130 gmail com повторный отправка приглашение на почта gmail com не помогать этот момент можно как то исправлять	4	Другое	0.9999222755432129	Школы Ошибка	14
