Query	predict_lb	predict_tag	true_lb	true_tag
проблема не корректно отображаться подразделение сотрудник который переводить звонок на очередь предназначать для перевод service_pechatka_perevod 86518 и servis_e izdaniya_perevod 86517 1 выгружать статистика по очередь service_pechatka_perevod и добавлять подразделение от который приходить звонок на этот очередь 2 этот очередь обрабатывать подразделение тула_сервис_2 3 проверять этот звонок по in trk code видеть ошибка например in trk code 1659332991 6105302 в наш статистика куб видно что он приходить от подразделение тула_сервис_2 что быть не мочь т к этот подразделение обрабатывать очередь service_pechatka_perevod если проверять этот звонок по данные арма то видно 1 01 08 2022 8 49 51 поступать вызов от номер 9089507404 принимать его сотрудник 3832 земляков анна александровна 2 сотрудник 3832 земляков анна александровна переводить этот звонок на очередь 86518 service_pechatka_perevod 3 данный звонок принимать сотрудник 1814 власов кристина тула_сервис_2 сейчас добавочный номер 1814 принадлежать сотрудник валиуллина елена адиковна но на момент звонок он принадлежать власова кристина как должно быть в наш статистика куб этот звонок должный быть быть от подразделение отдел обработка входить обращение сотрудник земляков анна александровна 3832 такой пример очень много	4	Другое	13	Телефония Ошибка
0050 8233 6227 7548 4238 не сформировываться обращение на проверка документ	4	Другое	14	Школы Ошибка
6702422301 пин задвоение укд заказ один 0654 2634 8666 6777 6133 подключать 0654 5281 2732 8220 4312 заблокировать или убирать чтобы не выходить звонок по активация	4	Другое	14	Школы Ошибка
битрикс 10179027 по укд 1382 4145 5646 8530 0401 и 1382 5320 1448 5551 4788 отсутствовать пакет документ хотя сбор документ по они производиться просьба сформировывать пакет	4	Другое	14	Школы Ошибка
битрикс 17997755 по укд 0050 5854 7843 4211 1445 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
битрикс 18002269 по укд 1275 5770 3373 8684 7765 нет пакет документ просьба сформировывать	14	Школы Ошибка	14	Школы Ошибка
добрый день по заказ 449409426 не видеть укд	4	Другое	14	Школы Ошибка
добрый день клиент пин 2980155201 приобретать академия от период обучение с 01 07 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 5522 3567 0055 5711	4	Другое	14	Школы Ошибка
добрый день клиент пин 3362356101 приобретать академия от период обучение с 01 06 2022г просить проставлять моментальный доступ чтобы клиент смочь назначать обучение укд 0983 6212 4484 6152 3512	4	Другое	14	Школы Ошибка
добрый день подтягивать пожалуйста версия вчера они добавлять вручную а они для маппинг так и не появляться сегодня упр10378 20417 гб303 20421 гб303 20422 гб303 20423 гб303 20424 гб303 20425 гб303 20426 гб303 20427 и еще для сегодняшний продукт на всякий случай тоже упр6111 20549	4	Другое	14	Школы Ошибка
